NumDrones,AverageTime,BubbleSortTime,MinTime,MaxTime
100,0,0.13,0,0
200,0,0.68,0,0
300,0,1.34,0,0
400,0,2.15,0,0
500,0,3.09,0.01,0.01
600,0,4.38,0.01,0.01
700,0.01,5.95,0.01,0.01
800,0,7,0.01,0.01
900,0.01,9.13,0,0.01
1000,0.01,5.96,0,0.01
1100,0.01,10.39,0.01,0.01
1200,0.01,13.57,0.01,0.01
1300,0.02,10.93,0,0.01
1400,0.01,12,0.01,0.01
1500,0.01,14.01,0.01,0.01
1600,0.01,16,0.01,0.01
1700,0.01,20.2,0.01,0.01
1800,0.01,19.31,0.01,0.02
1900,0.01,22.19,0.01,0.02
2000,0.01,23.8,0.01,0.02
2100,0.01,27.85,0.01,0.02
2200,0.01,30.21,0.01,0.02
2300,0.01,30.63,0.01,0.02
2400,0.01,32.73,0.01,0.02
2500,0.01,37.28,0.01,0.02
2600,0.02,36.52,0.02,0.02
2700,0.01,39.07,0.02,0.04
2800,0.02,42.4,0.01,0.03
2900,0.01,50.62,0.01,0.03
3000,0.02,58.61,0.02,0.03
3100,0.02,52.2,0.02,0.03
3200,0.03,55.19,0.02,0.03
3300,0.02,60.65,0.02,0.03
3400,0.02,61.91,0.02,0.03
3500,0.02,65.32,0.02,0.04
3600,0.02,68.89,0.02,0.04
3700,0.02,79.84,0.02,0.03
3800,0.02,76.41,0.02,0.04
3900,0.02,82.47,0.02,0.04
4000,0.02,85.84,0.02,0.04
4100,0.03,89.53,0.02,0.04
4200,0.02,93.75,0.02,0.04
4300,0.03,115.49,0.02,0.04
4400,0.03,107.9,0.02,0.04
4500,0.03,108.78,0.03,0.05
4600,0.03,112.06,0.03,0.05
4700,0.03,115.85,0.03,0.05
4800,0.03,121.12,0.03,0.05
4900,0.03,173.27,0.04,0.07
5000,0.05,136.45,0.03,0.05
5100,0.03,138.44,0.03,0.05
5200,0.03,141.28,0.03,0.06
5300,0.03,146.49,0.03,0.05
5400,0.04,171.15,0.03,0.06
5500,0.03,164.54,0.03,0.05
5600,0.04,177.82,0.04,0.05
5700,0.03,162.67,0.03,0.05
5800,0.03,166.26,0.03,0.06
5900,0.03,179.25,0.03,0.06
6000,0.04,184.9,0.03,0.06
6100,0.04,186.09,0.04,0.06
6200,0.04,192.22,0.04,0.06
6300,0.13,195.54,0.04,0.06
6400,0.04,206.06,0.04,0.06
6500,0.06,209.13,0.04,0.06
6600,0.04,216.59,0.04,0.07
6700,0.06,258.71,0.04,0.06
6800,0.04,302.98,0.05,0.08
6900,0.07,795.81,0.15,0.26
7000,0.07,363.6,0.04,0.08
7100,0.04,333.89,0.04,0.07
7200,0.05,262.57,0.06,0.1
7300,0.12,271.12,0.1,0.12
7400,0.22,302.4,0.04,0.07
7500,0.05,289.57,0.04,0.07
7600,0.05,303.78,0.05,0.07
7700,0.05,312.33,0.05,0.07
7800,0.05,325.14,0.05,0.08
7900,0.08,566.53,0.05,0.08
8000,0.05,437.21,0.06,0.15
8100,0.09,375.66,0.05,0.08
8200,0.11,417.5,0.06,0.19
8300,0.71,413.8,0.05,0.08
8400,0.05,371.68,0.05,0.08
8500,0.05,378.09,0.1,0.18
8600,0.16,398.17,0.05,0.08
8700,0.05,411.74,0.05,0.08
8800,0.06,418.39,0.05,0.08
8900,0.06,480.59,0.17,0.27
9000,0.19,430.83,0.05,0.1
9100,0.05,411.23,0.06,0.09
9200,0.05,418.35,0.05,0.09
9300,0.06,428.72,0.06,0.1
9400,0.11,436.76,0.06,0.09
9500,0.08,449.42,0.06,0.09
9600,0.06,456.83,0.06,0.09
9700,0.06,466.39,0.06,0.09
9800,0.12,477.77,0.06,0.1
9900,0.06,485.19,0.06,0.1
